,title,voting,nr_comments,has_experimental_title,page_link,link,date_posted,categories,nr_postings_total,nr_postings_shown,authors,authors_role,error_occured
7701005,“I Think That I Have To Break Up With My Fiancé After He Embarrassed Me In Public Over A Sandwich”,50,40,false,https://www.boredpanda.com/page/97/,https://www.boredpanda.com/gf-leave-abusive-bf-sandwich-drama/,"Nov 14, 2024","Couples, Relationships",0,0,Ivan Ayliffe | Rūta Zumbrickaitė," Writer,  BoredPanda staff  |  Writer,  BoredPanda staff  |  Author,  BoredPanda staff  |  Author,  BoredPanda staff ",False
7694610,"Guy Calls Police After Neighbor’s Kid Hurts His Dog, Ends Up Getting Them Arrested And CPS Called",57,25,false,https://www.boredpanda.com/page/97/,https://www.boredpanda.com/neighbour-hurt-dog-kids-taken-away/,"Nov 14, 2024","Entitled People, Social Issues",0,0,Beverly Noronha | Rūta Zumbrickaitė," Writer,  BoredPanda staff  |  Writer,  BoredPanda staff  |  Author,  BoredPanda staff  |  Author,  BoredPanda staff ",False
7695009,Couple Banned From Family X-Mas As They Wanted To Steal Niece’s Baby When She Was Pregnant,43,10,false,https://www.boredpanda.com/page/97/,https://www.boredpanda.com/refusing-attend-christmas-aunt-uncle-invited/,"Nov 14, 2024","Entitled People, Social Issues",0,0,Beverly Noronha | Denis Krotovas," Writer,  BoredPanda staff  |  Writer,  BoredPanda staff  |  Author,  BoredPanda staff  |  Author,  BoredPanda staff ",False
7701994,"Mom Tells Parents They Have To Treat Step-Grandkids The Same As Bio Grandkids, Family Drama Ensues",36,69,false,https://www.boredpanda.com/page/97/,https://www.boredpanda.com/grandparents-treat-children-differently/,"Nov 14, 2024","Family, Relationships",0,0,Ivan Ayliffe | Rūta Zumbrickaitė," Writer,  BoredPanda staff  |  Writer,  BoredPanda staff  |  Author,  BoredPanda staff  |  Author,  BoredPanda staff ",False
7705561,"Couple Invite Themselves To Sister’s Apartment, Try To Enforce Their Ridiculous Rules",43,37,false,https://www.boredpanda.com/page/97/,https://www.boredpanda.com/woman-refuses-let-sister-stay-rearrange-lifestyle/,"Nov 14, 2024","Family, Relationships",0,0,Rokas Laurinavičius | Dominyka," Writer,  BoredPanda staff  |  Writer,  BoredPanda staff  |  Author,  BoredPanda staff  |  Author,  BoredPanda staff ",False
7711365,"30 Famous Trios That Shaped Movies, Music, And Pop Culture",32,7,false,https://www.boredpanda.com/page/97/,https://www.boredpanda.com/famous-trios/,"Nov 14, 2024","Entertainment, Movies & tv",30,30,Zo Aguila," Author,  BoredPanda staff  |  Author,  BoredPanda staff ",False
7712244,Recruitment Scam Doesn’t Go As Planned After Guy Protects His Files,40,30,false,https://www.boredpanda.com/page/97/,https://www.boredpanda.com/home-assignment-recruiter-disabled-access/,"Nov 14, 2024",Work & Money,0,0,Jonas Grinevičius | Mindaugas Balčiauskas," Writer,  BoredPanda staff  |  Writer,  BoredPanda staff  |  Author,  BoredPanda staff  |  Author,  BoredPanda staff ",False
7584877,Choose The Saddest Movie Of All Time Out Of These 32 Heart-Wrenching Movies,21,58,false,https://www.boredpanda.com/page/97/,https://www.boredpanda.com/the-saddest-movie-face-off/,"Nov 14, 2024","Entertainment, Movies & tv",0,0,Selin Atalay," Author,  BoredPanda staff  |  Author,  BoredPanda staff ",False
7716540,"Emperor Penguin Travels Over 2,000 Miles For An Adventure Of A Lifetime",62,7,false,https://www.boredpanda.com/page/97/,https://www.boredpanda.com/emperor-penguin-made-astonishing-journey-to-australia/,"Nov 14, 2024",Wholesome,0,0,Eglė Tenikytė," Author,  BoredPanda staff  |  Author,  BoredPanda staff ",False
7712261,Woman’s Heart Sinks Thinking BF Wanted To Propose In Paris And Finding Out It Was Fake,20,18,false,https://www.boredpanda.com/page/97/,https://www.boredpanda.com/bf-upset-gf-doesnt-want-fake-proposal-photos-paris/,"Nov 14, 2024","Couples, Relationships",0,0,Miglė Miliūtė | Rugilė Žemaitytė," Writer,  BoredPanda staff  |  Writer,  BoredPanda staff  |  Author,  BoredPanda staff  |  Author,  BoredPanda staff ",False
